id,target
0,1
2,1
3,0
9,0
11,1
12,0
21,0
22,0
27,1
29,0
30,1
35,0
42,1
43,0
45,0
46,0
47,0
51,0
58,1
60,1
69,0
70,1
72,1
75,1
84,0
87,1
88,0
90,0
94,1
99,0
101,1
103,0
106,1
108,0
111,0
115,1
116,0
122,1
123,1
124,0
125,1
127,1
140,1
142,0
147,1
148,0
150,1
152,0
154,1
155,0
166,0
167,1
169,1
177,0
179,0
181,0
186,0
188,0
189,0
192,0
200,1
202,0
206,1
207,1
214,1
217,0
223,0
224,0
227,0
228,1
230,0
233,1
234,1
236,0
239,1
250,1
255,0
257,0
259,0
275,1
278,1
282,1
284,0
286,0
288,1
292,0
295,0
300,1
304,1
305,1
306,0
308,1
311,0
317,0
319,0
323,0
324,0
325,0
326,0
333,0
339,0
342,0
343,0
350,1
351,1
357,1
359,0
362,1
366,0
367,0
369,0
373,1
374,1
376,1
377,0
378,0
379,1
382,0
385,0
387,0
388,0
391,0
392,0
395,0
399,1
400,0
403,1
405,0
408,1
411,0
414,0
416,1
417,1
422,1
425,1
428,1
430,0
431,0
433,0
434,1
439,1
441,1
449,1
458,0
460,0
464,1
473,0
488,0
491,0
494,0
497,0
500,0
505,0
507,0
508,0
510,0
511,0
515,1
525,0
529,0
532,0
534,0
537,1
539,1
541,0
545,0
547,1
548,1
549,0
553,1
554,0
555,1
557,1
562,1
566,1
572,1
573,1
582,1
586,1
587,0
590,1
591,0
593,0
595,1
596,1
597,1
601,1
602,1
605,1
610,1
616,0
618,1
620,1
626,1
627,0
629,1
632,1
634,0
639,1
645,0
647,0
648,0
650,0
663,0
666,0
668,0
670,1
673,0
676,0
678,0
692,0
693,0
694,0
695,0
696,1
698,0
701,1
703,0
707,0
708,1
711,0
715,0
718,0
722,0
723,1
733,0
741,0
742,0
743,1
747,0
749,1
750,0
756,0
757,1
760,0
764,1
765,0
766,0
768,0
769,1
771,0
772,0
776,0
778,1
780,1
785,0
789,1
792,1
793,0
811,1
813,0
816,0
821,0
824,1
825,0
827,1
830,1
831,1
839,1
844,0
847,1
850,1
854,1
855,1
858,1
861,1
862,1
865,0
869,1
879,1
880,1
887,1
889,1
897,1
900,1
901,1
904,0
908,1
909,0
910,1
913,1
914,1
917,1
918,1
920,1
922,1
924,1
925,1
927,1
933,0
937,1
943,0
949,0
950,1
954,0
966,0
967,1
969,1
970,1
973,1
975,0
980,0
988,1
989,1
995,0
1000,0
1003,0
1007,1
1011,0
1012,1
1013,1
1014,0
1016,0
1019,0
1025,0
1027,0
1028,0
1030,1
1033,0
1034,1
1039,1
1046,0
1047,0
1053,0
1055,0
1056,0
1059,1
1060,1
1063,0
1064,0
1068,0
1076,0
1086,0
1087,1
1089,0
1092,0
1095,0
1096,1
1097,1
1100,1
1101,1
1107,0
1108,1
1111,0
1115,0
1116,1
1121,0
1125,1
1127,1
1131,0
1133,0
1135,1
1137,0
1140,0
1144,0
1147,1
1148,1
1150,1
1158,0
1159,1
1161,0
1163,0
1165,1
1169,1
1171,0
1172,1
1176,0
1180,0
1184,0
1186,0
1187,1
1192,1
1193,0
1194,0
1197,1
1200,1
1205,0
1210,1
1216,1
1220,1
1231,1
1233,0
1246,1
1247,0
1248,0
1255,0
1256,1
1257,0
1258,1
1260,0
1261,1
1265,1
1266,0
1268,1
1274,0
1281,0
1285,0
1286,0
1291,1
1292,1
1295,1
1299,1
1306,1
1310,0
1311,1
1313,1
1314,1
1322,1
1323,1
1325,1
1329,1
1330,1
1333,0
1336,1
1339,0
1342,0
1344,0
1355,0
1357,1
1358,0
1359,1
1364,0
1366,0
1367,1
1370,0
1373,0
1377,1
1386,0
1387,0
1392,1
1397,0
1398,1
1400,1
1403,0
1404,1
1410,0
1413,0
1416,0
1417,0
1423,1
1424,0
1426,0
1427,1
1428,1
1430,1
1434,1
1435,0
1437,1
1438,0
1442,1
1446,1
1451,1
1457,1
1461,1
1462,1
1465,0
1468,1
1469,1
1471,1
1476,1
1478,1
1481,1
1489,1
1490,0
1492,1
1496,0
1512,1
1516,0
1517,1
1528,1
1529,0
1536,1
1539,0
1541,0
1542,0
1548,0
1550,0
1551,0
1552,1
1557,0
1563,0
1564,0
1565,1
1566,1
1571,0
1578,1
1581,1
1583,0
1584,0
1586,0
1589,1
1592,0
1598,0
1606,1
1612,0
1616,0
1620,0
1624,1
1629,0
1630,0
1635,1
1640,1
1641,1
1642,0
1651,0
1655,1
1656,1
1659,1
1664,1
1667,1
1668,0
1674,0
1678,0
1680,1
1681,0
1682,1
1685,1
1695,0
1696,0
1697,0
1704,1
1708,0
1711,1
1713,0
1714,0
1717,0
1729,1
1730,0
1732,0
1734,0
1736,1
1738,1
1742,1
1743,0
1746,1
1748,1
1749,1
1751,0
1758,0
1764,0
1765,1
1777,1
1778,0
1781,1
1782,0
1783,1
1785,0
1788,0
1793,0
1794,0
1795,0
1797,0
1800,1
1801,0
1805,0
1806,0
1819,0
1820,0
1825,0
1828,0
1829,0
1830,0
1839,0
1843,0
1844,0
1846,1
1849,0
1850,1
1854,0
1855,0
1858,0
1859,0
1862,0
1867,0
1868,0
1871,0
1872,0
1874,1
1876,0
1879,0
1884,1
1891,1
1894,1
1896,1
1902,0
1903,0
1904,1
1906,1
1907,0
1912,0
1913,1
1923,0
1926,0
1928,1
1930,1
1931,1
1934,0
1936,1
1944,0
1946,0
1947,1
1958,1
1964,0
1970,1
1974,0
1977,0
1978,1
1982,1
1984,1
1988,0
1993,0
1997,1
1998,1
2002,0
2004,1
2005,1
2008,1
2011,1
2013,0
2018,0
2021,0
2025,0
2029,1
2030,1
2032,1
2037,0
2041,0
2044,0
2048,0
2052,1
2053,1
2054,0
2062,0
2065,0
2066,0
2072,0
2079,0
2080,0
2085,0
2088,0
2090,1
2092,0
2093,0
2101,0
2104,0
2105,0
2106,0
2107,0
2120,1
2124,1
2127,1
2130,1
2132,0
2135,1
2137,1
2140,1
2143,0
2147,0
2151,0
2152,1
2155,1
2156,1
2162,0
2165,0
2166,0
2167,0
2168,0
2170,1
2178,1
2180,0
2182,1
2184,0
2185,0
2187,0
2196,1
2197,1
2199,1
2200,0
2201,0
2202,1
2206,1
2208,0
2218,0
2223,1
2224,1
2226,0
2228,0
2232,0
2234,1
2243,1
2247,0
2249,0
2252,1
2253,1
2259,0
2261,0
2264,1
2268,0
2269,0
2270,0
2276,1
2283,0
2287,0
2290,0
2291,0
2293,1
2295,0
2302,1
2305,0
2310,0
2313,0
2316,1
2320,0
2322,0
2323,1
2326,0
2328,1
