id,target
0,0
2,1
3,1
9,1
11,0
12,0
21,1
22,0
27,0
29,0
30,0
35,0
42,1
43,0
45,0
46,1
47,1
51,0
58,0
60,1
69,0
70,1
72,1
75,0
84,0
87,0
88,0
90,0
94,0
99,0
101,0
103,0
106,0
108,0
111,0
115,0
116,0
122,0
123,1
124,1
125,1
127,1
140,0
142,1
147,1
148,0
150,0
152,0
154,0
155,0
166,1
167,0
169,0
177,0
179,0
181,0
186,0
188,0
189,0
192,0
200,0
202,0
206,1
207,1
214,1
217,1
223,1
224,1
227,0
228,1
230,1
233,1
234,1
236,1
239,1
250,0
255,1
257,0
259,1
275,0
278,1
282,0
284,0
286,0
288,0
292,0
295,0
300,1
304,0
305,0
306,1
308,1
311,0
317,1
319,1
323,0
324,1
325,0
326,0
333,1
339,0
342,0
343,0
350,0
351,1
357,1
359,1
362,0
366,1
367,1
369,1
373,1
374,1
376,1
377,1
378,1
379,1
382,1
385,1
387,1
388,1
391,1
392,1
395,1
399,1
400,0
403,0
405,1
408,0
411,0
414,0
416,0
417,0
422,0
425,1
428,1
430,0
431,0
433,0
434,0
439,0
441,0
449,0
458,0
460,1
464,1
473,0
488,1
491,0
494,0
497,0
500,0
505,0
507,0
508,0
510,0
511,0
515,1
525,0
529,0
532,0
534,0
537,1
539,0
541,0
545,0
547,0
548,0
549,0
553,0
554,0
555,0
557,0
562,0
566,0
572,0
573,1
582,1
586,0
587,1
590,0
591,0
593,1
595,0
596,0
597,0
601,1
602,0
605,0
610,1
616,0
618,0
620,1
626,0
627,0
629,1
632,0
634,1
639,0
645,0
647,1
648,1
650,0
663,0
666,1
668,0
670,0
673,0
676,1
678,1
692,0
693,0
694,0
695,0
696,0
698,0
701,1
703,1
707,1
708,1
711,1
715,1
718,0
722,0
723,1
733,0
741,1
742,1
743,0
747,0
749,0
750,0
756,1
757,0
760,1
764,0
765,0
766,0
768,1
769,0
771,0
772,0
776,0
778,0
780,1
785,0
789,0
792,0
793,0
811,0
813,0
816,0
821,0
824,1
825,0
827,0
830,1
831,1
839,1
844,1
847,1
850,0
854,1
855,0
858,0
861,1
862,0
865,1
869,1
879,0
880,0
887,0
889,0
897,0
900,0
901,0
904,0
908,1
909,1
910,0
913,0
914,0
917,0
918,0
920,0
922,0
924,0
925,1
927,1
933,0
937,1
943,0
949,0
950,1
954,1
966,0
967,1
969,0
970,1
973,0
975,0
980,0
988,1
989,1
995,0
1000,1
1003,1
1007,0
1011,1
1012,0
1013,0
1014,1
1016,0
1019,1
1025,0
1027,1
1028,1
1030,1
1033,0
1034,0
1039,1
1046,1
1047,0
1053,0
1055,0
1056,1
1059,1
1060,0
1063,0
1064,0
1068,0
1076,0
1086,0
1087,0
1089,1
1092,0
1095,0
1096,0
1097,1
1100,1
1101,0
1107,0
1108,0
1111,1
1115,0
1116,0
1121,0
1125,1
1127,1
1131,0
1133,0
1135,0
1137,0
1140,0
1144,0
1147,0
1148,0
1150,1
1158,1
1159,0
1161,0
1163,0
1165,0
1169,0
1171,0
1172,1
1176,1
1180,0
1184,0
1186,0
1187,0
1192,1
1193,0
1194,0
1197,1
1200,1
1205,0
1210,1
1216,0
1220,0
1231,0
1233,0
1246,1
1247,0
1248,1
1255,0
1256,1
1257,1
1258,1
1260,0
1261,1
1265,0
1266,1
1268,1
1274,0
1281,0
1285,1
1286,0
1291,0
1292,0
1295,1
1299,0
1306,1
1310,0
1311,0
1313,1
1314,1
1322,0
1323,0
1325,0
1329,0
1330,1
1333,0
1336,0
1339,0
1342,0
1344,0
1355,1
1357,1
1358,1
1359,0
1364,0
1366,0
1367,0
1370,1
1373,0
1377,1
1386,1
1387,0
1392,0
1397,1
1398,0
1400,0
1403,0
1404,0
1410,1
1413,0
1416,1
1417,0
1423,0
1424,1
1426,0
1427,0
1428,1
1430,0
1434,1
1435,0
1437,1
1438,1
1442,1
1446,0
1451,0
1457,0
1461,1
1462,0
1465,1
1468,0
1469,0
1471,1
1476,0
1478,0
1481,0
1489,1
1490,0
1492,1
1496,0
1512,0
1516,0
1517,1
1528,1
1529,1
1536,0
1539,1
1541,1
1542,1
1548,0
1550,0
1551,1
1552,1
1557,1
1563,1
1564,1
1565,1
1566,0
1571,1
1578,1
1581,0
1583,1
1584,1
1586,0
1589,1
1592,1
